place_id,id,name,lat,lng,rating,user_ratings_total,vicinity,types
ChIJn_K9LZcIAWAR4Tu9X1O2WTw,5bce3f0205e2af9d213d0c6bdfa7217db21ce841,Jiki Miyazawa,35.0043342,135.7634299,4.3,105,"553-1 Yaoyacho, Nakagyo Ward, Kyoto","['restaurant', 'food', 'point_of_interest', 'establishment']"
ChIJERWykpQIAWARlvUkkECHL_8,d31301fb5b722278a071faca40a5dd5f4518963d,KOBE Misono,35.0061177,135.7693196,4.3,198,"Kyoto, Nakagyo Ward, 蛸薬師下ル奈良屋町300 青山河原町ビル5F Kawaramachi Dori","['restaurant', 'food', 'point_of_interest', 'establishment']"
ChIJ3bhURokIAWARt-GwJfgaCzM,2e954c697856492368ca554fb39be6a22508f0f7,Premium Pound Sanjo-Kiyamachi,35.0096855,135.7702265,4.6,140,"Kyoto, Nakagyo Ward, 木屋町通三条上ル恵比須町424-1 ABSビル","['restaurant', 'food', 'point_of_interest', 'establishment']"
ChIJhfNcIKYIAWAR-MbSOL6N770,48e7136f5383480c37515183213b933f7554ea48,Honke Tankuma Honten,35.000276,135.769221,4.1,65,"168 Izumiyacho, Shimogyo Ward, Kyoto","['restaurant', 'food', 'point_of_interest', 'establishment']"
ChIJ3UELspQIAWARtJN6BkVE3Zg,3b101528b338f8cd9444bc12b507ec9b1d277e70,Kichi Kichi Omurice,35.0072788,135.7708108,4.2,590,"185-4 Zaimokucho, Nakagyo Ward, Kyoto","['restaurant', 'food', 'point_of_interest', 'establishment']"
ChIJI-P4dpwIAWARb1RTcvgzy5g,36e77a3cef4c60f418e22faac7b1bbc575a5d374,Matsukiya,35.0038902,135.7653502,4.3,103,"Kyoto, Shimogyo Ward, 麩屋町西入立売東町28 SAKIZO PLAZAビル2F Shijo Dori","['restaurant', 'food', 'point_of_interest', 'establishment']"
ChIJVVXBOpIIAWARZcvqw_XMtlo,1458007a28c317b4277168ff9c7b8662533ddd4f,Kani Doraku Kyoto Honten,35.0087734,135.7669563,3.9,344,"525 Tenshojimaecho, Nakagyo Ward, Kyoto","['restaurant', 'food', 'point_of_interest', 'establishment']"
ChIJE1F2oPGGHWARhJCC6SRLvVw,1ec7ff7b25dd4014485366270a25bd05bc3b851f,Wakuden Sakaimachi Branch,35.01014500000001,135.763276,4.4,121,"Kyoto, Nakagyo Ward, 堺町通御池下ル東側","['cafe', 'restaurant', 'food', 'store', 'point_of_interest', 'establishment']"
ChIJrUy7vpMIAWARciV2lMassEo,097929779e80ca537751c3c78a87dbc6b0de6631,Mishima-tei,35.0084299,135.7670573,4.1,586,"Kyoto, Nakagyo Ward, 三条下ル桜之町４０５","['restaurant', 'food', 'point_of_interest', 'establishment']"
ChIJG5LHJo4IAWARwlEt_RG8bEE,1cc087a43c9bc15e6f42d32511dfcb879b13e48b,iida,35.009795,135.764792,4.5,17,"120-1 Fukunagacho, Nakagyo Ward, Kyoto","['restaurant', 'food', 'point_of_interest', 'establishment']"
ChIJKQUNgYMIAWARL1INgC1-uAc,735e3606e59382a6b721fc2ce50cf5b671549c7f,Another C (アナザー シー),35.0090478,135.7706018,4.4,28,"Kyoto, Nakagyo Ward, 三条通木屋町角中島町96 三条木屋町ビル4階","['restaurant', 'food', 'point_of_interest', 'establishment']"
ChIJ6aqQVJMIAWAR_ybOaG_s7-8,b71e390d9353cff7fa5a19b3d2f7966dce2951b4,Uryu Pontocho Hana,35.0068114,135.7711107,3.6,64,"Kyoto, Nakagyo Ward, 先斗町 三条下ル若松町141","['restaurant', 'food', 'point_of_interest', 'establishment']"
ChIJ7eHHvL8IAWARTuQcTHU10Vw,78838130d394544c5a960518aaaca831718018b3,Tokuwo,35.0013022,135.7696209,4.6,32,"Kyoto, Shimogyo Ward, 仏光寺上る天王町151","['restaurant', 'food', 'point_of_interest', 'establishment']"
ChIJhYoUEJoIAWARofi6mI-FIEo,8a6c7fdb739f1ad769e1668dc1d0dadfb6993aab,Santa Maria Novella Tisaneria Kyoto,35.003981,135.76093,4.1,80,"東洞院通四条上ル, Nakagyo Ward, Kyoto","['restaurant', 'food', 'point_of_interest', 'establishment']"
ChIJWTwdIZUIAWARAEenTpasC-o,30e6359465049c2ff275c145df32aa4483b49436,Tankuma Kitamise Honten,35.0051917,135.7700575,4.1,71,"Kyoto, Nakagyo Ward, 四条上ル紙屋町355","['restaurant', 'food', 'point_of_interest', 'establishment']"
ChIJPQW8QZUIAWAR6eu47wod6s4,3e12d2b3821179cb326aa49cbf4f128933c55781,Pound Shijo Kawaramachi,35.003984,135.769965,4,155,"Kyoto, Shimogyo Ward, 小橋西入真町81 四条通り","['bar', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']"
ChIJFZsC_ZEIAWARk2PyAkGmbPg,88e41ef73eaa0cb9ba0a3c2a18b17db1e980a30b,遊形 Salon du Thé,35.009936,135.765835,4.1,62,"288 Nakahakusancho, Nakagyo Ward, Kyoto","['restaurant', 'food', 'store', 'point_of_interest', 'establishment']"
ChIJZ6GeP5UIAWARdVfOJlmWE_Q,0c14dee1366362b81101fba2b9a723b7d20f9a6d,Shirukou,35.00424539999999,135.7700005,4.3,143,"Kyoto, 下京区西木屋町通四条上る西入る","['restaurant', 'food', 'point_of_interest', 'establishment']"
