ナンバリング,Places
60222,"国道367号途中方面, 大原・八瀬方面, 二条城周辺, 河原町・新京極方面, 河原町・新京極方面, 不明"
240102,"京都市内の自宅・知人宅, 清水寺周辺, 祇園方面, 河原町・新京極方面, 京都市内の自宅・知人宅"
260089,None
180002,"ＪＲ京都駅（在来線）, 醍醐寺周辺, 醍醐寺周辺, ＪＲ京都駅（在来線）"
150269,"ＪＲ京都駅（在来線）, 御所周辺, 下鴨神社周辺, 鞍馬方面, 下鴨神社周辺, 御所周辺, 京都駅周辺, 不明"
10106,"名神京都東インター, 祇園方面, 河原町・新京極方面, 河原町・新京極方面, 祇園方面, 名神京都東インター, 名神京都東インター"
90010,"ＪＲ京都駅（在来線）, 三十三間堂周辺, 不明"
190207,"近鉄駅, 東寺周辺, 近鉄駅"
310806,"不明, 伏見周辺, 不明"
130230,"ＪＲ京都駅（新幹線）, 嵯峨野方面, 嵯峨野方面, 嵯峨野方面, 嵯峨野方面, 衣笠・御室方面, 衣笠・御室方面, 河原町・新京極方面, 河原町・新京極方面"
120029,"不明, 金閣寺周辺, 衣笠・御室方面, 衣笠・御室方面, 不明"
350045,None
60462,"ＪＲ京都駅（新幹線）, 京都駅周辺, 清水寺周辺, ＪＲ京都駅（新幹線）, 京都駅周辺, 二条城周辺, 大徳寺周辺, ＪＲ京都駅（新幹線）"
80014,"ＪＲ京都駅（新幹線）, 下鴨神社周辺, 祇園方面, 不明, 不明, 清水寺周辺, 京都市内の宿泊施設"
250217,"京都市内の宿泊施設, 哲学の道周辺, 祇園方面, 河原町・新京極方面, ＪＲ京都駅（新幹線）"
310520,"京都市内の宿泊施設, 清水寺周辺, 哲学の道周辺, 平安神宮周辺, 京都市内の宿泊施設"
10279,"京都市内の宿泊施設, 哲学の道周辺, 清水寺周辺, 不明"
80125,"ＪＲ京都駅（新幹線）, 東福寺周辺, 哲学の道周辺, 河原町・新京極方面, ＪＲ京都駅（新幹線）"
190091,"近鉄駅, 東寺周辺, 不明"
290158,"京阪駅, 哲学の道周辺, 祇園方面, 河原町・新京極方面, 不明"
80098,None
80474,"ＪＲ京都駅（新幹線）, 京都駅周辺, 清水寺周辺, 祇園方面, 哲学の道周辺, 京阪駅"
100284,"不明, 具体的な地名, 具体的な地名, 具体的な地名, 具体的な地名"
250297,"ＪＲ京都駅（在来線）, 清水寺周辺, 祇園方面, 修学院・詩仙堂周辺, 京都駅周辺, ＪＲ京都駅（在来線）"
311245,"京都市内の宿泊施設, 修学院・詩仙堂周辺, 清水寺周辺, 京都駅周辺, 名神京都南インター"
10768,"京阪駅, 祇園方面, 祇園方面, 祇園方面, 清水寺周辺, 三十三間堂周辺, 京阪駅"
30197,"国道24号宇治奈良方面, 哲学の道周辺, 平安神宮周辺, 名神京都南インター"
311260,"京都市内の宿泊施設, 嵐山方面, 嵯峨野方面, 嵐山方面, 京都駅周辺, ＪＲ京都駅（在来線）"
311085,"ＪＲ京都駅（新幹線）, 祇園方面, 不明"
280181,"京阪駅, 三十三間堂周辺, 河原町・新京極方面, 不明"
10130,"名神京都南インター, 清水寺周辺, 河原町・新京極方面, 名神京都南インター"
50054,"京都市内の宿泊施設, 銀閣寺周辺, 哲学の道周辺, 京都駅周辺, ＪＲ京都駅（新幹線）"
20061,"京都市内の宿泊施設, 嵐山方面, 清水寺周辺, ＪＲ京都駅（新幹線）"
260436,None
330121,"具体的な地名, 具体的な地名, 具体的な地名, 具体的な地名, 具体的な地名, 具体的な地名, 具体的な地名, 具体的な地名, 不明"
