place_id,id,name,lat,lng,rating,user_ratings_total,vicinity,types
ChIJ1Xkv0dGmAWARohTRfQPVzOc,1d050b4f5fade901215f245367a7d803da60f592,Jakko-in Temple,35.1241,135.821045,4.3,361,"Kyoto, Sakyo Ward, Oharakusaocho, ６７６","['place_of_worship', 'point_of_interest', 'establishment']"
ChIJR3vnOtamAWARqN1SzgUuYYE,6cb0da0c45599b68f9c13d8078a9ce1c96db56b5,Chizo-in Temple,35.1161504,135.8215779,0,0,"Oharanomuracho, Sakyo Ward, Kyoto","['place_of_worship', 'point_of_interest', 'establishment']"
ChIJ7UzPyCmnAWARQpiVf_9K-MA,ee8cb3972681a3ebdc214d2b03c3e245f4787c85,Saitokuji Temple,35.114598,135.821342,3,1,"82 Oharanomuracho, Sakyo Ward, Kyoto","['place_of_worship', 'point_of_interest', 'establishment']"
ChIJNWd9YNOgAWARrszWnCRA0nE,fa58e490711b14da4a1db52fc63fdbaabb9ec67c,Sesshu-in Temple,35.1144009,135.829223,0,0,"Sakyo Ward, Kyoto","['place_of_worship', 'point_of_interest', 'establishment']"
ChIJ7UzPyCmnAWARC4_5YQ60IXA,78052772c51e75db5e37403e7a0738dfd71030a1,Saigan-ji Temple,35.1092549,135.8269167,0,0,"118 Oharauenocho, Sakyo Ward, Kyoto","['place_of_worship', 'point_of_interest', 'establishment']"
ChIJDXEGNN-mAWAROQfjbGXoex8,8cd4bedf2b93543588a3fb5d23a04243ec3a483a,Ebumi-jinja Shrine,35.1132099,135.8134722,3.7,21,"Oharanomuracho, Sakyo Ward, Kyoto","['place_of_worship', 'point_of_interest', 'establishment']"
ChIJP__-LdWgAWARBQomPLR2N2s,099414e64309ec2b06f3e499b0a2307af09b071b,梅宮神社,35.1167889,135.8280653,4.5,4,"Oharaonagasecho, Sakyo Ward, Kyoto","['place_of_worship', 'point_of_interest', 'establishment']"
ChIJ89DHzs-mAWARqyl0uYHRIXw,91cb2040cbf3f12c23f470ed4e750d64f6a2bcdc,Shinmei Shrine,35.1247385,135.8204565,3,4,"Sakyo Ward, Kyoto","['place_of_worship', 'point_of_interest', 'establishment']"
ChIJb2Fy-eemAWARYg5Xyc67_AU,23b7cbee8ded68ec9328385fa8ec00a7bc1b2f69,Kotohiragu Shrine,35.11818,135.808761,4,1,"Shizuichishizuharacho, Sakyo Ward, Kyoto","['place_of_worship', 'point_of_interest', 'establishment']"
ChIJ90rwTFmnAWARhuNsiA1Lq3Q,868addfc33effd8a4b6098e6f571d2a51e6307ed,Meshishirubetera Shrine,35.1156039,135.8207986,5,1,"Oharanomuracho, Sakyo Ward, Kyoto","['place_of_worship', 'point_of_interest', 'establishment']"
ChIJ__c3pNKgAWARpQUeDaES6eY,9c326f8716467081f157612c04cc8571c9b34ecf,Onogoryo Shrine,35.109764,135.8288856,3,2,"Oharauenocho, Sakyo Ward, Kyoto","['place_of_worship', 'point_of_interest', 'establishment']"
ChIJcRdjP9SgAWARqUSDrvM36rg,98d4a5ad17b400d889b2894fc0f6c84bcef71818,Shusse-Inari-Jinja Shrine,35.1164093,135.8316601,3.8,61,"148 Ohararaikoincho, Sakyo Ward, Kyoto","['place_of_worship', 'point_of_interest', 'establishment']"
ChIJT7cl202nAWARRdKAtbTiYK8,6e248bd4701ba11bafcda704134da715c90fdbb7,Sairin-ji Temple,35.091442,135.823753,4,6,"3 Yaseakimotocho, Sakyo Ward, Kyoto","['place_of_worship', 'point_of_interest', 'establishment']"
ChIJYaEULVenAWAREgIukA62lEI,5a55c56c5f1869047a8b478dda42933a291ebba6,Yase-temmangu Shrine,35.0837748,135.8203267,4,10,"Sakyo Ward, Kyoto","['place_of_worship', 'point_of_interest', 'establishment']"
ChIJD39eseEJAWAR1IeW1cBPBxg,68a4c8bfe03dab941cae2345495060f4552f6dd0,Kuzuryu-taisha Shrine,35.0740241,135.8116801,4,52,"681 Yasekonoecho, Sakyo Ward, Kyoto","['place_of_worship', 'point_of_interest', 'establishment']"
ChIJL4Yb7N0JAWARLNrQ60DNCuo,89a6be2736fd15ca46eee440a90fb61df4819d30,Yofuku-ji Temple,35.0685664,135.8081524,3.3,6,"Sakyo Ward, Kyoto","['place_of_worship', 'point_of_interest', 'establishment']"
ChIJO7TC81enAWAR-yZodkPStMw,225c27fce4560e761ef932f652457885ebf5b41b,Myodenji Temple,35.079626,135.818857,3.3,3,"370 Yasekonoecho, Sakyo Ward, Kyoto","['place_of_worship', 'point_of_interest', 'establishment']"
ChIJE6oLWdagAWARNC8P8LkIKlM,6050ea22da202e501ad82728adc5f9fc597e5bc7,Sanzen-in Temple,35.1197018,135.834335,4.5,1690,"540 Ohararaikoincho, Sakyo Ward, Kyoto","['place_of_worship', 'point_of_interest', 'establishment']"
ChIJ4_213ymhAWAROPqpWbVawuw,e65fda437b6a065b87a101d54cfbaf3a11c301cf,Hosen-in Temple,35.12133499999999,135.8339816,4.6,340,"220 Oharashorinincho, Sakyo Ward, Kyoto","['place_of_worship', 'point_of_interest', 'establishment']"
ChIJLwvz_tmgAWARFxTELLQZ_fg,bd62a2acfe9404493c74d2640a88472b4a61e355,Raigo-in Temple,35.1187082,135.8369875,4.1,54,"537 Ohararaikoincho, Sakyo Ward, Kyoto","['place_of_worship', 'point_of_interest', 'establishment']"
ChIJb6Sz3ymhAWARAKdNh5ANMVI,16b103f4aa66451f1810c50687271a366804e2b7,Jikko-in Temple,35.1206161,135.8341422,4.2,68,"187 Oharashorinincho, Sakyo Ward, Kyoto","['place_of_worship', 'point_of_interest', 'establishment']"
ChIJR9hfC9egAWARgPN-JFiowsE,7b54d71251c0632496242d40574eb3dad24306d7,Katte Shrine,35.1198278,135.8363028,3.4,5,"Ohararaikoincho, Sakyo Ward, Kyoto","['place_of_worship', 'point_of_interest', 'establishment']"
ChIJMyzNoxsKAWARlcl_aAD9XZA,ce75d96cc185fee598c59371a542e9c3a6f440a0,Enryakuji,35.0704634,135.8411275,4.3,2285,"4220 Sakamotohonmachi, Otsu","['place_of_worship', 'point_of_interest', 'establishment']"
ChIJYSbgkBsKAWARGTEiomOX-lY,aedabb3501f6d9cffc77f65eaca0b51b1c8be643,恵亮堂(Eryo-do),35.0736544,135.833529,3.8,6,"Sakamotohonmachi, Otsu","['place_of_worship', 'point_of_interest', 'establishment']"
ChIJj0RQZDgLAWARwllWYt-w5hY,4e9c79bc368958b1d1c393d960b7bcf21c0a13d2,Jogyodo,35.0732946,135.8335735,4.5,2,"Sakamotohonmachi, Otsu","['place_of_worship', 'point_of_interest', 'establishment']"
ChIJMYWhkj0KAWARHV53Z8wzh4c,c80d8faa946bfeac85913816030502068a35a15c,"Original Main Hall (National Treasure), Enryaku-ji",35.0705034,135.8409597,4.2,94,"Sakamotohonmachi, Otsu","['place_of_worship', 'point_of_interest', 'establishment']"
ChIJ7-uDAT4KAWARpXjB9WVzENc,c0e7aea9645d5d8ca3bd52ba2481a0c1cb39b4be,"To-do, Enryakuji Temple",35.0687459,135.8382292,4.2,170,"4220 Sakamotohonmachi, Otsu","['place_of_worship', 'point_of_interest', 'establishment']"
ChIJxwtq6BsKAWARiGkkMH5C72Q,c867b212c72e12f0609fe6e1ea86cf2d9a64b90d,Tsubakido,35.0728816,135.8338172,3.7,9,"4220 Sakamotohonmachi, Otsu","['place_of_worship', 'point_of_interest', 'establishment']"
