place_id,id,name,lat,lng,rating,user_ratings_total,vicinity,types
ChIJfbsTimsIAWARUvDi-6f7Ec4,a872dc4252a9d1f76e9d23c4bc4dcd77fbf22c0a,Amidaji Temple,35.033962,135.766223,3.9,69,"Kyoto, Kamigyo Ward, 今出川上る二丁目鶴山町14","['place_of_worship', 'point_of_interest', 'establishment']"
ChIJD8RW42sIAWARRHKhq_cJxQM,76c214b2b14daa1f3847cf92950441c4b107efd0,Junenji Temple,35.033054,135.766932,3.5,19,"13 Tsuruyamacho, Kamigyo Ward, Kyoto","['place_of_worship', 'point_of_interest', 'establishment']"
ChIJxdN4jmwIAWARD0-ISKtOQHY,0932e6adbedc4454e3d8cc5683029c329c4fc099,Daikankiji Temple,35.0347641,135.7654457,2,2,"Tsuruyamacho, Kamigyo Ward, Kyoto","['place_of_worship', 'point_of_interest', 'establishment']"
ChIJEySz1D8IAWAR0xpCSwMSXsM,419dd988fdb6955ae5b81501a10777a91d79025f,Hosenji,35.041428,135.771279,4,3,"80 Shimogamo Matsunokicho, Sakyo Ward, Kyoto","['place_of_worship', 'point_of_interest', 'establishment']"
ChIJk3d4NHIIAWAR0G9yG7Pwaok,0c04a0024d6d5b4c078bddc3c50d2411f815262f,Komyoji Temple,35.0341361,135.7659856,3.8,6,"Kamigyo Ward, Kyoto","['place_of_worship', 'point_of_interest', 'establishment']"
ChIJT8GcKm0IAWAR031EqP9EcSM,a838559401922ec302e6d98ffe98de4a503291d2,Chokyuji Temple,35.035781,135.763993,0,0,"Kyoto, Kamigyo Ward, Kotokujicho, 348 寺町通鞍馬口下ル","['place_of_worship', 'point_of_interest', 'establishment']"
ChIJG3ScbGkIAWARnKZhTRtqWBI,f7852a8c937598821c023cb9a2556d0347c33f0e,Honmanji Temple,35.0322086,135.7679204,4.3,124,"Kyoto, Kamigyo Ward, 今出川上2丁鶴山16","['place_of_worship', 'point_of_interest', 'establishment']"
ChIJmQn9eW0IAWARMZrcFAMhN0Y,c43e9f029fbaeea0444567b599f9b5f49319e71b,Shōkokuji Temple,35.0325506,135.7620062,4.1,294,"Kyoto, Kamigyo Ward, 烏丸東入","['place_of_worship', 'point_of_interest', 'establishment']"
ChIJjR_m520IAWARxFwbtItsDtw,982ce07a780f3383797bd43dd34bc888d83b7156,Kogenin Temple,35.0313912,135.7626777,5,3,"Kyoto, Kamigyo Ward, 烏丸東入上る相国寺門前町701","['place_of_worship', 'point_of_interest', 'establishment']"
ChIJ9Z81pG4IAWARdUUzY0xhwQk,3708240add62645316255e48cca4c02e2276d0fb,Hōrinji Temple,35.0318045,135.7654642,0,0,"Kamigyo Ward, Kyoto","['place_of_worship', 'point_of_interest', 'establishment']"
ChIJmQn9eW0IAWARNIvN0WXc6Cc,671a7ce33812a8fcab8a5a1308147594c76db682,Hokoji Temple,35.0337238,135.7620309,3.2,5,"Kamigyo Ward, Kyoto","['place_of_worship', 'point_of_interest', 'establishment']"
ChIJe2WPqG4IAWARBsyWqx3NWoQ,dbf7910a5fa44b1bcb664ebe69775b3537b07310,Joganji Temple,35.032079,135.765768,2,1,"363 Kitayokocho, Kamigyo Ward, Kyoto","['place_of_worship', 'point_of_interest', 'establishment']"
ChIJk3d4NHIIAWARL61q9A-1wNI,f064fd22a4e7f5ce2b673917d27e7afbb5b8192e,Daikōmyō-ji,35.03326819999999,135.7612741,3.8,12,"701 Sokokuji Monzencho, Kamigyo Ward, Kyoto","['place_of_worship', 'point_of_interest', 'establishment']"
ChIJV9KjVVsIAWARRy0rzmkBYV8,b9dc236a576e0dddd519733f7ce90e154aa06fc9,Dokushoji Temple,35.03225219999999,135.7758891,0,0,"Sakyo Ward, Kyoto","['place_of_worship', 'point_of_interest', 'establishment']"
ChIJwepwXFsIAWARVTU9TcNaU6s,4537434a5ffd78042c55831cdaa77cd70cae9c55,Monkoji Temple,35.031751,135.776217,0,0,"154 Tanaka Genkyocho, Sakyo Ward, Kyoto","['place_of_worship', 'point_of_interest', 'establishment']"
ChIJvaEk3UQIAWARKdW9lfnw9Cg,1eb483c4eb60bd30f6f88b82b1741c4b40610b6a,Kotakuji Temple,35.034229,135.7776298,4,2,"82-33 Tanaka Minaminishiuracho, Sakyo Ward, Kyoto","['place_of_worship', 'point_of_interest', 'establishment']"
ChIJBci5qHIIAWARqHhktHS95qQ,a1c1e7812269b28bc30ddd99b18a091bc20e703b,Chotoku-in Temple,35.0342012,135.761445,4.3,3,"Kamigyo Ward, Kyoto","['place_of_worship', 'point_of_interest', 'establishment']"
ChIJ15X4dm0IAWARqJryrQZE4Jk,2cab0ede2ffb648477f6eef15ec3029f67742226,Daihonzan Shōkokuji Temple,35.0328111,135.7617794,4,6,"701 Sokokuji Monzencho, Kamigyo Ward, Kyoto","['place_of_worship', 'point_of_interest', 'establishment']"
ChIJm5meKlsIAWARKr7AosWq_4c,61d0967628db6eccfa3d64843a06ad4fd1b88a5f,Jōmyōan Temple,35.033348,135.778087,0,0,"49 Tanaka Kamigenkyocho, Sakyo Ward, Kyoto","['place_of_worship', 'point_of_interest', 'establishment']"
ChIJrwcov1wIAWARsNt_ZetS05c,066a65482663087f63ed9d49c5feef67d48dbc81,Kōfukuji Temple (Senna-dera),35.030968,135.774781,3.5,4,"56 Tanaka Kamiyanagicho, Sakyo Ward, Kyoto","['place_of_worship', 'point_of_interest', 'establishment']"
ChIJf438RkAIAWARzM3lfzI7uAM,06ee09a3f350bd3f043957eb97b29b3d50637de7,Shimogamo-jinja Shrine,35.0391839,135.7730066,4.4,3002,"５９ Shimogamo Izumikawacho, Sakyo Ward, Kyoto","['place_of_worship', 'point_of_interest', 'establishment']"
ChIJxTX8G0IIAWARbSC6MRN-ge8,c5eb424c8ec11e3c94867613117b629d14a3e1a9,Kawai-jinja Shrine,35.0347787,135.7719345,4.2,577,"59 Shimogamo Izumikawacho, Sakyo Ward, Kyoto","['place_of_worship', 'point_of_interest', 'establishment']"
ChIJI5WmghIIAWARGUmnXY9fDcA,79034b30d646efacc451e4d0401e4ef09e8b8437,Goryo-Jinja Shrine (Kamigoryo-Jinja Shrine),35.0364041,135.7613615,4,264,"Kyoto, Kamigyo Ward, 烏丸東入上御霊竪町495番地","['place_of_worship', 'point_of_interest', 'establishment']"
ChIJPXnxT0AIAWARTEwcvtzKzJE,5a22785fc6ec56566c340261f98f4aa78d7f42c2,Aioi-sha Shrine,35.0383817,135.7728001,4.1,17,"Shimogamo Izumikawacho, Sakyo Ward, Kyoto","['place_of_worship', 'point_of_interest', 'establishment']"
ChIJ09OTHEIIAWARnZOLbfONXOo,9c9e28760df3c09db8bd5e21e7ba6f0e5412258e,Tōbe-no-yashiro Shrine,35.0348271,135.771757,3.3,3,"Shimogamo Izumikawacho, Sakyo Ward, Kyoto","['place_of_worship', 'point_of_interest', 'establishment']"
