,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
0,0,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999
1,999999,0,4763,5453,14567,7470,7082,6278,6609,8112,7125,8282,9091,12628,9023,9479,9246,8132,9599,9127,9670,10952,13006,10154,9686,13231,11446,10935,11327,13271,12028,12060,12834,16500,14691,16049,55948
2,999999,4763,0,3359,12451,2994,5203,3341,4540,5988,3896,6098,6976,10512,4546,5002,5166,5014,7483,6768,7437,8836,10890,6369,6484,11116,7661,7502,8084,11174,8412,9475,9402,12023,11259,12617,53832
3,999999,5453,3359,0,9462,4400,2159,1373,1566,2998,2721,3239,3986,7523,4791,5188,4597,3299,4494,4084,4627,5847,7901,5505,4971,8126,6797,6286,6250,8185,7387,7017,8187,11912,9820,11402,50843
4,999999,14567,12451,9462,0,12226,8351,9423,7956,6660,9250,6590,5262,4953,10830,10848,10086,8450,5662,7994,7410,5311,5787,10681,9554,6748,11800,11163,10509,8379,12201,10381,13005,17403,12417,14287,49616
5,999999,7470,2994,4400,12226,0,5754,3378,4355,5842,2853,5669,6818,10225,2823,3279,3443,3917,6956,5851,6591,8309,10493,4787,5409,10589,6117,6417,7008,10291,7112,8400,8251,10300,10184,11542,53105
6,999999,7082,5203,2159,8351,5754,0,2609,1700,1815,3945,2244,2794,6331,6041,6438,5847,3877,3302,4113,3793,4655,6709,6686,5627,6935,7946,7265,6611,7088,8303,6654,9107,13162,9457,11280,49651
7,999999,6278,3341,1373,9423,3378,2609,0,1767,3215,2251,3327,4203,7739,4320,4717,4126,2856,4710,4012,4681,6063,8117,5034,4515,8343,6326,5816,5808,8401,6916,6944,7716,11441,9573,10931,51059
8,999999,6609,4540,1566,7956,4355,1700,1767,0,1705,2407,1694,2718,6254,4494,4892,4300,2400,3209,2839,3081,4562,6632,5161,4149,6842,6420,5891,5314,6758,6890,5772,7690,11615,8574,10391,49573
9,999999,8112,5988,2998,6660,5842,1815,3215,1705,0,3501,1113,1316,4844,5600,5900,5270,3220,1824,3377,2781,3177,5222,6064,4937,5456,7183,6546,5892,5614,7584,5962,8388,12614,8346,10541,48173
10,999999,7125,3896,2721,9250,2853,3945,2251,2407,3501,0,3016,4456,7572,2437,2835,2243,1265,4303,3218,3957,5656,7840,3152,2841,7936,4443,3929,4476,7657,5030,5895,5830,9558,7686,9045,50472
