,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
0,0,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999
1,999999,0,6434,7198,18418,9833,9057,8236,8727,10553,9353,10967,11916,16639,12037,12737,12160,10723,12698,12189,12929,14484,17141,13337,12820,17530,14764,14563,15089,17511,15934,16076,17202,21912,19791,21513,68444
2,999999,6434,0,4399,15676,3815,6579,4438,5976,7812,5384,8058,9174,13897,6019,6719,6965,6902,9956,9096,9973,11742,14399,8510,8988,14788,9938,10344,11152,14766,11193,13045,12971,15894,15560,17282,65702
3,999999,7198,4399,0,11742,5661,2589,1904,2059,3878,3735,4298,5240,9963,6358,7015,6240,4474,6022,5521,6260,7808,10465,7417,6743,10854,8844,8655,8372,10832,10129,9407,11283,15757,13034,15593,61768
4,999999,18418,15676,11742,0,15461,10292,12013,10028,8321,11870,8339,6578,5775,13770,13856,12897,10850,7212,10255,9476,6745,6930,13619,12233,8208,14803,14311,13458,10871,15584,13456,16738,22405,16302,18805,59406
5,999999,9833,3815,5661,15461,0,7416,4589,5761,7620,3887,7543,8974,13636,3757,4458,4703,5300,9277,7940,8944,11063,13984,6489,7412,14109,7933,8638,9576,13783,9493,11469,11059,13632,13984,15706,64808
6,999999,9057,6579,2589,10292,7416,0,3633,2442,2427,5460,3196,3790,8513,8134,8791,8016,5415,4572,5770,5361,6358,9015,9198,7821,9404,10609,9811,8958,9553,11085,9095,12239,17533,12722,15167,60318
7,999999,8236,4438,1904,12013,4589,3633,0,2323,4159,3079,4415,5521,10244,5702,6359,5584,3874,6303,5459,6336,8089,10746,6761,6135,11135,8188,7999,7772,11113,9473,9346,10627,15101,13215,14937,62049
8,999999,8727,5976,2059,10028,5761,2442,2323,0,2157,3176,2264,3527,8250,5831,6487,5713,3244,4312,3912,4226,6098,8751,6911,5650,9144,8322,7913,7128,8978,9160,7798,10313,15230,11425,13863,60003
9,999999,10553,7812,3878,8321,7620,2427,4159,2157,0,4699,1551,1806,6542,7307,7860,7111,4386,2588,4678,3870,4374,7044,8042,6656,7420,9226,8734,7881,7569,10008,8013,11161,16649,11130,14093,58334
10,999999,9353,5384,3735,11870,3887,5460,3079,3176,4699,0,3931,5809,10023,3066,3723,2948,1687,5665,4336,5341,7450,10372,4125,3816,10496,5553,5363,6014,10180,6837,7942,7991,12465,10579,12302,61205
11,999999,10967,8058,4298,8339,7543,3196,4415,2264,1551,3931,0,2017,6492,5831,6384,5635,2910,2133,3178,2369,3919,6840,6542,5156,6965,7726,7234,6381,6805,8508,6518,9661,15173,10055,12590,57829
