,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
0,0,1883,2166,3905,8339,2990,3576,3930,3465,6267,2429,6436,5962,7219,4442,5669,3494,3130,5875,4169,4594,5896,6423,3920,3502,6913,5319,4685,4049,4680,6260,6069,8356,6716,8690,9123,9967
1,1883,0,2160,1587,9598,4549,2195,2927,2084,8426,3296,8655,7221,8232,8461,7888,5713,4633,8094,6988,7413,8115,7382,5479,5061,8172,7418,6904,6268,4440,8479,8288,7815,7339,9949,9362,13026
2,2166,2160,0,2179,6337,2368,2787,2233,2676,5165,1807,5334,4860,6117,4240,4567,3292,2452,4773,3967,4392,4794,5321,3298,2880,6351,4397,3965,3847,3360,5198,5292,6354,5614,8490,7901,8865
3,3905,1587,2179,0,6433,3484,1190,1373,1079,2998,1870,3239,4956,6213,6136,5563,3388,2124,4569,3463,3888,4590,5417,3694,3276,6447,4313,3881,3943,3840,5247,5963,6450,5710,9186,9369,10461
4,8339,9598,6337,6433,0,7346,9467,7986,8873,2583,5705,2494,1798,4975,6698,6125,5766,5810,2497,3161,2890,3352,4179,5274,4695,5209,5955,4804,3803,3840,5816,4150,7012,8072,7348,7531,2623
5,2990,4549,2368,3484,7346,0,4466,3560,4355,5417,2059,5586,5112,6369,2823,3279,3124,2704,5025,3799,4224,5046,5573,3550,3132,6603,4649,4315,3679,4080,5450,5699,6606,5866,8742,7965,9117
6,3576,2195,2787,1190,9467,4466,0,1935,212,1550,2437,1647,2550,6554,3938,4365,4629,2352,3060,2791,3034,4931,5758,3435,3017,6548,5355,4661,4025,3240,5828,6045,8332,7592,8927,9110,10202
7,3930,2927,2233,1373,7986,3560,1935,0,1851,3215,1922,3327,5008,6265,6188,5615,3440,2176,4621,3515,3940,4642,5469,3799,3381,6499,4365,3933,3995,2640,5299,6015,6502,5762,9291,9474,10566
8,3465,2084,2676,1079,8873,4355,212,1851,0,1705,2089,1694,2718,6432,2760,5782,3607,2343,3209,2839,3081,4809,5636,3428,3010,6666,4532,4100,4162,3420,5466,6182,6669,5929,8920,9103,10195
9,6267,8426,5165,2998,2583,5417,1550,3215,1705,0,3501,1113,1316,3682,5405,4832,4473,3220,1517,1868,1597,2719,2886,3981,3402,3916,4122,3511,3170,2820,5176,2857,5719,6779,7315,8526,4090
