,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46
0,0,1883,2166,3905,8339,2990,3576,3930,3465,6267,2429,6436,5962,7219,4442,5669,3494,3130,5875,4169,4594,5896,6423,3920,3502,6913,5319,4685,4049,4680,6260,6069,8356,6716,8690,9123,9967,3894,3894,4525,4525,4200,3279,2752,8719,1595,3836
1,1883,0,2160,1587,9598,4549,2195,2927,2084,8426,3296,8655,7221,8232,8461,7888,5713,4633,8094,6988,7413,8115,7382,5479,5061,8172,7418,6904,6268,4440,8479,8288,7815,7339,9949,9362,13026,7899,7899,8530,8530,66949,4833,4417,53284,2309,4961
2,2166,2160,0,2179,6337,2368,2787,2233,2676,5165,1807,5334,4860,6117,4240,4567,3292,2452,4773,3967,4392,4794,5321,3298,2880,6351,4397,3965,3847,3360,5198,5292,6354,5614,8490,7901,8865,3534,3534,4165,4165,5224,2628,2212,8599,755,2756
3,3905,1587,2179,0,6433,3484,1190,1373,1079,2998,1870,3239,4956,6213,6136,5563,3388,2124,4569,3463,3888,4590,5417,3694,3276,6447,4313,3881,3943,3840,5247,5963,6450,5710,9186,9369,10461,3861,3861,4492,4492,6331,2955,2539,8566,2582,3083
4,8339,9598,6337,6433,0,7346,9467,7986,8873,2583,5705,2494,1798,4975,6698,6125,5766,5810,2497,3161,2890,3352,4179,5274,4695,5209,5955,4804,3803,3840,5816,4150,7012,8072,7348,7531,2623,3683,3683,3861,3861,3840,3830,3793,10192,4834,3404
5,2990,4549,2368,3484,7346,0,4466,3560,4355,5417,2059,5586,5112,6369,2823,3279,3124,2704,5025,3799,4224,5046,5573,3550,3132,6603,4649,4315,3679,4080,5450,5699,6606,5866,8742,7965,9117,3666,3666,4297,4297,5836,3240,2824,9211,1521,3368
6,3576,2195,2787,1190,9467,4466,0,1935,212,1550,2437,1647,2550,6554,3938,4365,4629,2352,3060,2791,3034,4931,5758,3435,3017,6548,5355,4661,4025,3240,5828,6045,8332,7592,8927,9110,10202,3567,3567,4255,4255,6157,3886,3470,8392,3513,4014
7,3930,2927,2233,1373,7986,3560,1935,0,1851,3215,1922,3327,5008,6265,6188,5615,3440,2176,4621,3515,3940,4642,5469,3799,3381,6499,4365,3933,3995,2640,5299,6015,6502,5762,9291,9474,10566,3886,3886,4517,4517,6557,2980,2564,8792,2607,3108
8,3465,2084,2676,1079,8873,4355,212,1851,0,1705,2089,1694,2718,6432,2760,5782,3607,2343,3209,2839,3081,4809,5636,3428,3010,6666,4532,4100,4162,3420,5466,6182,6669,5929,8920,9103,10195,4681,4681,5404,5312,6131,3775,3359,8366,3402,3903
9,6267,8426,5165,2998,2583,5417,1550,3215,1705,0,3501,1113,1316,3682,5405,4832,4473,3220,1517,1868,1597,2719,2886,3981,3402,3916,4122,3511,3170,2820,5176,2857,5719,6779,7315,8526,4090,2511,2511,2689,2689,2880,2658,2621,2700,3662,2232
10,2429,3296,1807,1870,5705,2059,2437,1922,2089,3501,0,3016,3611,4868,1821,2835,1583,1203,3524,2298,2723,3545,4072,2049,1631,5102,3148,2814,2178,3120,3949,4198,5105,4365,7241,6464,7616,2025,2025,2656,2656,4354,1599,1183,7630,1106,1727
11,6436,8655,5334,3239,2494,5586,1647,3327,1694,1113,3016,0,1537,3417,5260,4687,4328,2151,1580,1775,1654,1794,2621,3236,2657,3651,4217,3568,2738,2700,4744,2914,5776,6034,7108,7721,4147,2422,2422,2600,2600,2160,2906,2490,8817,2811,2101
12,5962,7221,4860,4956,1798,5112,2550,5008,2718,1316,3611,1537,0,3518,5241,4668,4309,4233,1037,1704,1433,1556,2722,3817,3238,3752,3478,3347,2526,3300,4532,2693,5555,6615,6290,7882,3446,2206,2206,2384,2384,2640,2353,2316,9343,2617,1927
13,7219,8232,6117,6213,4975,6369,6554,6265,6432,3682,4868,3417,3518,0,6431,5858,5723,5243,2355,2946,2983,1705,743,4407,3512,1402,5388,4034,3398,2820,6029,4483,6325,7205,8461,8988,6556,3269,3269,4004,4004,7719,3989,3573,9954,750,3184
14,4442,8461,4240,6136,6698,2823,3938,6188,2760,5405,1821,5260,5241,6431,0,1149,1405,2674,4756,3650,4075,4777,5604,1848,2383,6394,4080,3566,2930,3540,5141,4950,7237,5561,7573,7756,8848,4398,4398,5029,5029,4708,1959,1398,9463,3119,3407
15,5669,7888,4567,5563,6125,3279,4365,5615,5782,4832,2835,4687,4668,5858,1149,0,721,2770,4010,2904,3329,4031,5458,1772,1997,6488,3102,3361,3984,3300,4808,5121,4811,4431,5027,5210,9019,3825,3825,4456,4456,5135,2123,1562,8890,3866,2834
16,3494,5713,3292,3388,5766,3124,4629,3440,3607,4473,1583,4328,4309,5723,1405,721,0,2059,3640,2489,2914,3661,5088,1309,1627,6118,2689,3005,2369,3240,1800,4389,4561,4181,4777,4960,7732,2236,2236,2867,2867,5070,1621,800,8531,2097,2178
17,3130,4633,2452,2124,5810,2704,2352,2176,2343,3220,1203,2151,4233,5243,2674,2770,2059,0,3591,1970,3210,3612,4139,2116,1698,5169,3215,3267,2631,3540,4016,4651,5172,4432,6406,6719,7683,2546,2546,3177,3177,4300,1704,1288,7735,1751,1525
18,5875,8094,4773,4569,2497,5025,3060,4621,3209,1517,3524,1580,1037,2355,4756,4010,3640,3591,0,1389,1426,778,1605,2850,2271,2635,3831,3399,2338,3840,4344,2848,5710,5648,6722,7335,4441,2378,2378,2556,2556,2580,2345,1929,8256,1661,1540
19,4169,6988,3967,3463,3161,3799,2791,3515,2839,1868,2298,1775,1704,2946,3650,2904,2489,1970,1389,0,767,1469,2296,1711,1132,3326,2692,2260,1877,1980,3793,2224,5249,4509,5583,6008,4777,1241,1241,1895,1895,3586,1193,777,7378,2298,388
20,4594,7413,4392,3888,2890,4224,3034,3940,3081,1597,2723,1654,1433,2983,4075,3329,2914,3210,1426,767,0,1412,2239,2134,1555,3269,3115,2624,1623,2040,3629,1970,4832,4932,6919,6619,4523,1462,1462,1676,1676,3060,1664,1248,8007,2289,859
21,5896,8115,4794,4590,3352,5046,4931,4642,4809,2719,3545,1794,1556,1705,4777,4031,3661,3612,778,1469,1412,0,1114,2905,2326,1604,3886,2736,2100,2941,4731,2981,5027,5703,7163,7390,5054,1827,1827,2562,2562,1800,2042,1951,9118,1012,1562
22,6423,7382,5321,5417,4179,5573,5758,5469,5636,2886,4072,2621,2722,743,5604,5458,5088,4139,1605,2296,2239,1114,0,3648,2753,643,4629,3275,2639,1740,5270,3724,5566,6446,7702,8133,5797,2539,2539,3394,3394,6869,3193,2777,9104,464,2388
