place_id,id,name,lat,lng,rating,user_ratings_total,vicinity,types
ChIJJ9_QoHEHAWARwGpmDLXsQ-A,132a4db642d028160a79eb9ede04cf6d8e1ab31a,Kōryū-ji,35.014657,135.7071308,4.2,397,"32 Uzumasa Hachiokacho, Ukyo Ward, Kyoto","['place_of_worship', 'point_of_interest', 'establishment']"
ChIJ4flkAG4HAWARdPiQ4ibqdtU,2f8f344a3266dafda8518d94df93e311076008cd,Saikoji Temple,35.0129463,135.7048183,4,1,"30 Uzumasa Tayabucho, Ukyo Ward, Kyoto","['place_of_worship', 'point_of_interest', 'establishment']"
ChIJs3W0k24HAWARfu662D_S7K0,bfad222c0ff05a4381e0ad0f5af0a80e0f78f356,Unseiji Temple,35.0126723,135.7016355,1,1,"13 Uzumasa Horigauchicho, Ukyo Ward, Kyoto","['place_of_worship', 'point_of_interest', 'establishment']"
ChIJh2lEZXQHAWAR7ZJuexVdQN4,92eb6aa8f875394292c6793ef3deb8932249dc85,Jorakuji Temple,35.0139379,135.710115,0,0,"11 Uzumasa Kakiuchicho, Ukyo Ward, Kyoto","['place_of_worship', 'point_of_interest', 'establishment']"
ChIJ51r7xZ0HAWARJjQnFQqnDGI,4b0136224ba30753c0d068e3823e2794d3bf845c,Houkongou-in Temple,35.0191414,135.7159902,4.1,161,"49 Hanazonooginocho, Ukyo Ward, Kyoto","['place_of_worship', 'point_of_interest', 'establishment']"
ChIJAQBV5HMHAWARsfy6-hSKFRk,59d2312c671ee12d16ffca805c3a9e2abc657b84,Ozake-Jinja Shrine,35.0146042,135.708723,4.1,21,"Uzumasa Hachiokacho, Ukyo Ward, Kyoto","['place_of_worship', 'point_of_interest', 'establishment']"
ChIJ4bAyKXMHAWARUOxnoMf4ssM,4220278a93e5fc7cddbd057f6102466cac8b8fc1,Ichikawa-Jinja Shrine,35.010342,135.707399,3.5,2,"10-8 Uzumasa Sugamotocho, Ukyo Ward, Kyoto","['place_of_worship', 'point_of_interest', 'establishment']"
ChIJr-bDHnoHAWARb97EzsOCu94,7bc52fa4593e9a7922be42e7cfba5f4d29d702c5,Tenno-sha-Hachimangu Shrine,35.020609,135.7092351,3,3,"27 Tokiwahigashinocho, Ukyo Ward, Kyoto","['place_of_worship', 'point_of_interest', 'establishment']"
ChIJe6xqcHUHAWARnoHVGPGznsw,fd0a7c2741d0b0dafb7630c2ff8cc2eb72d30285,Konoshima-Jinja Shrine Haiden,35.0145149,135.7135418,4,2,"50-1 Uzumasa Morigahigashicho, Ukyo Ward, Kyoto","['place_of_worship', 'point_of_interest', 'establishment']"
ChIJ8_bMmQoHAWARaY1hF75ZWHU,73e4a87f7eaa5ade37257e592c1dbf8fea5c7202,Konoshima-Jinja Shrine Daiichi-Torii Gate,35.0115777,135.7136639,4,4,"Uzumasa Shimokeibucho, Ukyo Ward, Kyoto","['place_of_worship', 'point_of_interest', 'establishment']"
ChIJH36gd3UHAWARK0dkwFJj5MI,e6dd186bfa262f0f02eb8c70decfd0d6125916ea,"Konoshima-Nimasu-Amateru-Mitama-jinja Shrine (Kaiko-no-yashiro, Konoshima-jinja Shrine)",35.0145927,135.7135008,4.1,159,"50-1 Uzumasa Morigahigashicho, Ukyo Ward, Kyoto","['place_of_worship', 'point_of_interest', 'establishment']"
ChIJx3N9gZsHAWARvp-HBLJ--HU,c181b993873919ed69fe223096b6e9afdd2961d2,Taizō-in,35.021865,135.719222,4.5,253,"35 Hanazonomyoshinjicho, Ukyo Ward, Kyoto","['place_of_worship', 'point_of_interest', 'establishment']"
ChIJGYkhzpgHAWARmyYUuENBTUY,73f4490a38097ae65f98dcb1ab09482ae5a2ee34,Chikurinzenji Temple,35.017076,135.719317,5,1,"18 Uzumasa Yasui Kitagoshocho, Ukyo Ward, Kyoto","['place_of_worship', 'point_of_interest', 'establishment']"
ChIJgeiCTJ8HAWARNwFBJG2JN8s,6ed93f61fd4651a03b994cc8209934ea9f638d5a,Yasui Nenbutsu Temple,35.016027,135.718825,0,0,"19 Uzumasa Yasui Kitagoshocho, Ukyo Ward, Kyoto","['place_of_worship', 'point_of_interest', 'establishment']"
ChIJx3N9gZsHAWARCAGgPBEIzoM,0e099a1e30ace7893cc2c587abb9e6304c6d4df4,Tenju-in Temple,35.0224072,135.7191637,5,1,"37 Hanazonomyoshinjicho, Ukyo Ward, Kyoto","['place_of_worship', 'point_of_interest', 'establishment']"
ChIJ626JDJwHAWAR605LP9wRJmE,05586923b627cf1380b73f9783753b9d2fa70c13,Imamiya-Jinja Shrine,35.020526,135.718581,4,14,"17 Hanazonoimachi, Ukyo Ward, Kyoto","['place_of_worship', 'point_of_interest', 'establishment']"
ChIJSYeo76YHAWAROnZmv0FTupg,f7290a56b91cffe4d6c269dffaeff3708bf97c60,Sarutahiko-Jinja Shrine (Yamanouchi-Koshin),35.008505,135.717295,4,26,"Kyoto, Ukyo Ward, Yamanouchi Arakicho, ３","['place_of_worship', 'point_of_interest', 'establishment']"
