place_id,id,name,lat,lng,rating,user_ratings_total,vicinity,types
ChIJTar7hQQGAWAREHkXsNkt7tM,5e26a3bc81ea9ba596d4b9eff968af70ca943a77,Toji,34.9811177,135.7475964,4.4,3956,"1 Kujocho, Minami Ward, Kyoto","['place_of_worship', 'point_of_interest', 'establishment']"
ChIJ-6BPig8GAWARGGzv_PmElIs,1247f74988820cb7d9879fd7abf264d364ad0f3c,Kotokuji Temple,34.9802851,135.7425056,5,1,"52 Karahashi Takadacho, Minami Ward, Kyoto","['place_of_worship', 'point_of_interest', 'establishment']"
ChIJG3hZ1xoGAWARyCv7D00G9Ww,754aef5ac0116d2439e25d764101c7c213acb0ba,Bunshinji Temple,34.9827569,135.7446815,3,1,"16 Hachijo Terauchicho, Minami Ward, Kyoto","['place_of_worship', 'point_of_interest', 'establishment']"
ChIJG3hZ1xoGAWARqmacBEYuHl4,0deebb26761f35e1cfbe7b40254d7baa9dc2f5c7,Nenbutsuji Temple,34.983214,135.744732,4.7,7,"531 Tojicho, Minami Ward, Kyoto","['place_of_worship', 'point_of_interest', 'establishment']"
ChIJeWgCZgMGAWARFbmOAbTAjhE,9abe7718868c3c92fba8b6b28259cc6bf14acd5b,Kanchi-in Temple,34.982775,135.747876,4.4,54,"403 Kujocho, Minami Ward, Kyoto","['place_of_worship', 'point_of_interest', 'establishment']"
ChIJSzMalgEGAWARwnRifG4i5qM,7027ea41fbe7dbeaa271cd42857bffe02715a7c9,Kanonji Temple,34.979739,135.750548,4,2,"23 Nishikujo Gawarajocho, Minami Ward, Kyoto","['place_of_worship', 'point_of_interest', 'establishment']"
ChIJLas0BwQGAWARvGzobmFH3wQ,e772c6469344256977220f3d53bfc1ac9f373a0e,Toji Temple Chinju-Hachimangu Shrine,34.9796242,135.7472685,3.7,7,"Kyoto, Minami Ward, Kujocho, １","['place_of_worship', 'point_of_interest', 'establishment']"
ChIJaT3HRgMGAWAR4Y6o-hlVcBw,209f4a8f17424f8c3aba5a6c262d2972a6f96c83,Isonokami-Jinja Shrine,34.9834796,135.7483135,4.7,6,"Kujocho, Minami Ward, Kyoto","['place_of_worship', 'point_of_interest', 'establishment']"
ChIJr2XD4gMGAWARQbJxuTMyxuE,5ad8f3ce1aad0c069e4fc7c506bbc7345da4ce92,Yashimaden Shrine,34.979784,135.74801,4,7,"Kujocho, Minami Ward, Kyoto","['place_of_worship', 'point_of_interest', 'establishment']"
ChIJ7YOqEOUHAWARC7U2fVwAhJU,d0edc2252be482a66e2452d0715c4b6c541d7352,Furui Shrine,34.9836007,135.7496117,3,2,"64 Tojihigashimonzencho, Minami Ward, Kyoto","['place_of_worship', 'point_of_interest', 'establishment']"
