,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
0,0,9398,9520,13121,27485,10699,16451,11855,15432,16250,11985,16964,17715,22160,12680,13523,13945,13487,18493,16983,17916,19867,22908,15317,15992,24890,18299,17892,18441,23406,19171,20242,21819,28559,24123,26055,34912
1,9398,0,5996,6465,21452,9697,9795,7122,9484,10841,9367,11554,12305,16751,11679,12522,12213,10371,13083,13088,14021,15080,18122,13345,13393,20315,15648,14734,16074,18954,16223,16888,18021,22239,20206,23504,24570
2,9520,5996,0,5342,16975,4040,7418,4119,6283,8102,5751,9000,9566,14012,6022,6865,7287,6756,10344,9748,10680,12341,15382,8659,9394,17576,11641,11234,12097,16380,12512,13562,14120,16582,16099,19396,30820
3,13121,6465,5342,0,12887,5744,2965,1835,2204,4013,4040,5282,5477,9923,6644,7476,6685,4117,6256,5659,6592,8493,11294,7816,7257,13159,9295,9003,8718,12291,10810,9459,12739,17263,12777,16075,29591
4,27485,21452,16975,12887,0,16902,13986,12973,11031,9287,13124,9715,7573,7792,14849,14940,14149,11556,8259,11522,10519,7852,9163,15269,13983,11356,17484,15766,14848,12098,17620,14880,19284,24149,18909,20966,24409
5,10699,9697,4040,5744,16902,0,7537,4008,6172,7845,4202,8646,9309,13755,3864,4707,5129,5640,10087,9200,10133,12084,15126,6896,8144,17086,9483,9722,11139,15463,10828,12641,13648,14424,18039,21337,34163
6,16451,9795,7418,2965,13986,7537,0,3664,2461,2492,5741,3645,3925,8418,8345,9177,8386,5056,4718,5775,5437,6780,9789,9517,8454,11983,11509,10331,9543,10720,12039,9084,13923,18619,13588,16972,26734
7,11855,7122,4119,1835,12973,4008,3664,0,2138,3957,3088,4855,5421,9867,5794,6683,5892,3324,6199,5603,6536,8196,11238,7023,6464,13431,8502,8209,8072,12235,9699,9457,11783,16470,12721,16019,30130
8,15432,9484,6283,2204,11031,6172,2461,2138,0,2162,4089,2876,3627,8072,6683,7238,6447,3107,4405,4322,4776,6401,9443,7532,6247,11637,9867,8192,7309,10275,9900,8123,11689,16154,11440,14738,29087
9,16250,10841,8102,4013,9287,7845,2492,3957,2162,0,5459,1548,1877,6323,7074,7912,7121,3781,2579,4499,4038,4652,7694,8236,7093,9888,10831,9141,8162,8526,10849,7808,12776,17241,11805,15825,29068
10,11985,9367,5751,4040,13124,4202,5741,3088,4089,5459,0,4513,6845,11291,3011,4180,3390,1770,5792,5068,5760,8156,12661,4521,4410,12515,6000,5628,6814,11529,8197,8420,9198,13694,11176,14474,32632
11,16964,11554,9000,5282,9715,8646,3645,4855,2876,1548,4513,0,2726,6704,5855,6693,5902,2562,2399,3257,2380,4391,8075,7017,5702,7942,9337,7647,6661,8216,9355,6566,11144,15609,10415,14193,30008
12,17715,12305,9566,5477,7573,9309,3925,5421,3627,1877,6845,2726,0,4594,7922,8761,7970,4629,1716,5178,4175,2923,5964,9085,7770,8158,11608,9607,8723,6796,11553,8561,12975,17460,13607,15665,30739
13,22160,16751,14012,9923,7792,13755,8418,9867,8072,6323,11291,6704,4594,0,12575,11192,10401,8592,5253,8511,7508,3776,1372,11927,10562,3566,13749,11547,10637,6810,13373,9992,14456,19802,13227,15284,30974
14,12680,11679,6022,6644,14849,3864,8345,5794,6683,7074,3011,5855,7922,12575,0,1932,2464,3506,7528,6259,7192,9578,13219,4206,5771,13896,6817,7514,8668,13557,8199,10588,11178,11759,15374,18672,34959
15,13523,12522,6865,7476,14940,4707,9177,6683,7238,7912,4180,6693,8761,11192,1932,0,1022,4433,6952,4817,5750,8136,11785,2764,4378,12454,5375,6072,7226,12115,6757,9146,9736,10317,13932,17230,35875
16,13945,12213,7287,6685,14149,5129,8386,5892,6447,7121,3390,5902,7970,10401,2464,1022,0,3623,6146,4012,4944,7330,10980,1817,3569,11297,4821,5226,6644,10876,5741,8131,9153,10180,14875,13481,35069
17,13487,10371,6756,4117,11556,5640,5056,3324,3107,3781,1770,2562,4629,8592,3506,4433,3623,0,4235,3512,4204,6599,9911,4678,3881,10216,6157,5793,5511,10149,7282,7003,9366,13761,10617,13915,31696
18,18493,13083,10344,6256,8259,10087,4718,6199,4405,2579,5792,2399,1716,5253,7528,6952,6146,4235,0,3556,2668,2132,5782,7281,6011,5870,9552,7859,6888,5972,9623,7139,11249,15800,9999,14384,31441
19,16983,13088,9748,5659,11522,9200,5775,5603,4322,4499,5068,3257,5178,8511,6259,4817,4012,3512,3556,0,1344,4914,7122,3716,2439,7873,6391,4302,3406,6815,6020,4211,7778,12243,7529,10827,34957
20,17916,14021,10680,6592,10519,10133,5437,6536,4776,4038,5760,2380,4175,7508,7192,5750,4944,4204,2668,1344,0,3173,5875,4842,3408,6266,7061,4972,4067,5653,6803,4225,8433,12913,7834,11474,33710
21,19867,15080,12341,8493,7852,12084,6780,8196,6401,4652,8156,4391,2923,3776,9578,8136,7330,6599,2132,4914,3173,0,3062,8257,6389,3769,10058,8241,7207,4070,10075,7292,11878,16182,10649,12706,30905
22,22908,18122,15382,11294,9163,15126,9789,11238,9443,7694,12661,8075,5964,1372,13219,11785,10980,9911,5782,7122,5875,3062,0,11924,10052,1929,12843,10641,9732,5597,12467,9086,13267,18896,12321,14183,32344
23,15317,13345,8659,7816,15269,6896,9517,7023,7532,8236,4521,7017,9085,11927,4206,2764,1817,4678,7281,3716,4842,8257,11924,0,1573,10049,2161,2404,3850,8820,3259,5633,6360,9716,8148,11446,37697
24,15992,13393,9394,7257,13983,8144,8454,6464,6247,7093,4410,5702,7770,10562,5771,4378,3569,3881,6011,2439,3408,6389,10052,1573,0,8870,4744,2655,3246,8003,4144,4736,6224,10596,7611,10909,36829
25,24890,20315,17576,13159,11356,17086,11983,13431,11637,9888,12515,7942,8158,3566,13896,12454,11297,10216,5870,7873,6266,3769,1929,10049,8870,0,11317,9115,8205,3697,10941,7560,11370,18292,10287,12090,34538
26,18299,15648,11641,9295,17484,9483,11509,8502,9867,10831,6000,9337,11608,13749,6817,5375,4821,6157,9552,6391,7061,10058,12843,2161,4744,11317,0,1964,3806,8776,2819,5193,6032,8276,10503,13801,39790
27,17892,14734,11234,9003,15766,9722,10331,8209,8192,9141,5628,7647,9607,11547,7514,6072,5226,5793,7859,4302,4972,8241,10641,2404,2655,9115,1964,0,1701,5778,1490,3403,4124,9360,6102,9400,39010
28,18441,16074,12097,8718,14848,11139,9543,8072,7309,8162,6814,6661,8723,10637,8668,7226,6644,5511,6888,3406,4067,7207,9732,3850,3246,8205,3806,1701,0,4926,2770,2322,4446,9682,5771,9014,38178
29,23406,18954,16380,12291,12098,15463,10720,12235,10275,8526,11529,8216,6796,6810,13557,12115,10876,10149,5972,6815,5653,4070,5597,8820,8003,3697,8776,5778,4926,0,6969,4127,7884,16444,6655,8713,35280
30,19171,16223,12512,10810,17620,10828,12039,9699,9900,10849,8197,9355,11553,13373,8199,6757,5741,7282,9623,6020,6803,10075,12467,3259,4144,10941,2819,1490,2770,6969,0,3348,3961,9197,5862,9160,40382
31,20242,16888,13562,9459,14880,12641,9084,9457,8123,7808,8420,6566,8561,9992,10588,9146,8131,7003,7139,4211,4225,7292,9086,5633,4736,7560,5193,3403,2322,4127,3348,0,4886,10045,3740,7950,37457
32,21819,18021,14120,12739,19284,13648,13923,11783,11689,12776,9198,11144,12975,14456,11178,9736,9153,9366,11249,7778,8433,11878,13267,6360,6224,11370,6032,4124,4446,7884,3961,4886,0,8367,5114,8412,41520
33,28559,22239,16582,17263,24149,14424,18619,16470,16154,17241,13694,15609,17460,19802,11759,10317,10180,13761,15800,12243,12913,16182,18896,9716,10596,18292,8276,9360,9682,16444,9197,10045,8367,0,10321,11879,46697
34,24123,20206,16099,12777,18909,18039,13588,12721,11440,11805,11176,10415,13607,13227,15374,13932,14875,10617,9999,7529,7834,10649,12321,8148,7611,10287,10503,6102,5771,6655,5862,3740,5114,10321,0,3190,40840
35,26055,23504,19396,16075,20966,21337,16972,16019,14738,15825,14474,14193,15665,15284,18672,17230,13481,13915,14384,10827,11474,12706,14183,11446,10909,12090,13801,9400,9014,8713,9160,7950,8412,11879,3190,0,61657
36,34912,24570,30820,29591,24409,34163,26734,30130,29087,29068,32632,30008,30739,30974,34959,35875,35069,31696,31441,34957,33710,30905,32344,37697,36829,34538,39790,39010,38178,35280,40382,37457,41520,46697,40840,61657,0
