,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
0,0,826,1064,1373,3017,1178,1757,1305,1746,2068,1357,2188,2264,2839,1494,1613,1680,1629,2435,2187,2350,2696,3067,2051,2207,3405,2370,2297,2551,3247,2545,2774,2924,3077,2945,3061,3353
1,826,0,734,760,2405,1302,1144,924,1144,1458,1289,1578,1654,2229,1618,1737,1807,1474,1824,1679,1842,2086,2457,2080,1997,2780,2498,2225,2212,2710,2522,2301,2803,3255,2724,2888,2516
2,1064,734,0,689,2425,702,1132,580,999,1349,839,1484,1545,2120,1018,1137,1204,1024,1716,1521,1684,1978,2349,1575,1655,2671,1893,1821,1962,2613,2069,2155,2372,2655,2420,2585,3250
3,1373,760,689,0,1964,1108,628,381,540,889,725,1042,1085,1659,1323,1349,1193,793,1255,1050,1213,1560,1888,1466,1368,2209,1886,1606,1591,2146,1948,1672,2267,2712,2094,2258,3217
4,3017,2405,2425,1964,0,2686,1516,1971,1650,1319,2192,1442,1031,943,2640,2404,2248,1949,1172,1634,1427,1114,1172,2545,2276,1494,2815,2412,2271,1739,2731,2209,3028,3523,2555,2882,2176
5,1178,1302,702,1108,2686,0,1372,764,1183,1537,827,1654,1733,2308,784,902,970,1098,1903,1657,1820,2165,2536,1369,1675,2874,1659,1706,2005,2707,1858,2226,2333,2420,2333,2497,3961
6,1757,1144,1132,628,1516,1372,0,712,520,511,1039,683,726,1266,1636,1663,1507,1097,922,1150,1101,1111,1495,1780,1689,1818,2198,1893,1729,1785,2194,1780,2502,2952,2293,2405,2639
7,1305,924,580,381,1971,764,712,0,415,765,556,899,961,1535,1136,1159,1003,603,1131,937,1100,1393,1764,1276,1178,2087,1696,1416,1417,2029,1713,1583,2014,2521,1981,2146,3193
8,1746,1144,999,540,1650,1183,520,415,0,494,761,614,690,1265,1334,1361,1205,672,860,789,937,1122,1493,1482,1254,1816,1823,1480,1323,1746,1782,1412,2096,2550,1834,1998,3095
9,2068,1458,1349,889,1319,1537,511,765,494,0,1065,444,431,1005,1621,1620,1463,930,618,983,875,863,1234,1759,1536,1556,2114,1762,1644,1487,2064,1613,2390,2844,2116,2292,3130
10,1357,1289,839,725,2192,827,1039,556,761,1065,0,932,1246,1820,654,779,623,364,1225,959,1087,1523,2049,896,983,2206,1316,1021,1310,1997,1404,1555,1619,2132,1667,1832,3641
11,2188,1578,1484,1042,1442,1654,683,899,614,444,932,0,612,1182,1321,1319,1163,630,560,708,538,878,1410,1459,1212,1560,1802,1451,1341,1495,1752,1338,2073,2527,1849,1975,3328
12,2264,1654,1545,1085,1031,1733,726,961,690,431,1246,612,0,690,1720,1718,1562,1029,360,1036,859,547,918,1857,1611,1241,2176,1856,1723,1171,2139,1638,2502,2939,1988,2314,2920
13,2839,2229,2120,1659,943,2308,1266,1535,1265,1005,1820,1182,690,0,2371,2098,1942,1689,898,1354,1147,653,233,2214,1963,555,2173,1859,1706,1031,2141,1581,2408,2971,1863,2189,2871
14,1494,1618,1018,1323,2640,784,1636,1136,1334,1621,654,1321,1720,2371,0,433,551,803,1664,1303,1466,1892,2490,967,1323,2559,1244,1300,1632,2365,1459,1832,1960,2006,1918,2082,4199
15,1613,1737,1137,1349,2404,902,1663,1159,1361,1620,779,1319,1718,2098,433,0,234,801,1432,986,1149,1575,2161,650,1005,2242,927,983,1315,2048,1142,1515,1642,1689,1601,1765,4210
16,1680,1807,1204,1193,2248,970,1507,1003,1205,1463,623,1163,1562,1942,551,234,0,678,1303,857,1020,1445,2032,517,877,2119,927,918,1217,1959,1086,1459,1545,1653,1556,1750,4080
17,1629,1474,1024,793,1949,1098,1097,603,672,930,364,630,1029,1689,803,801,678,0,926,661,788,1225,1776,946,840,1905,1366,1072,1045,1759,1369,1261,1670,2167,1639,1803,3638
18,2435,1824,1716,1255,1172,1903,922,1131,860,618,1225,560,360,898,1664,1432,1303,926,0,745,582,400,987,1624,1374,1077,1928,1543,1424,1112,1859,1356,2212,2633,1826,2082,3081
19,2187,1679,1521,1050,1634,1657,1150,937,789,983,959,708,1036,1354,1303,986,857,661,745,0,289,953,1466,912,629,1431,1129,801,702,1236,1136,753,1437,1891,1175,1340,3604
20,2350,1842,1684,1213,1427,1820,1101,1100,937,875,1087,538,859,1147,1466,1149,1020,788,582,289,0,669,1214,1152,878,1177,1339,1010,878,994,1313,830,1637,2101,1360,1535,3352
21,2696,2086,1978,1560,1114,2165,1111,1393,1122,863,1523,878,547,653,1892,1575,1445,1225,400,953,669,0,645,1762,1473,731,1913,1569,1450,768,1889,1368,2153,2660,1607,1934,3011
22,3067,2457,2349,1888,1172,2536,1495,1764,1493,1234,2049,1410,918,233,2490,2161,2032,1776,987,1466,1214,645,0,2164,1836,361,2073,1759,1606,951,2042,1482,2346,2871,1763,2110,3114
23,2051,2080,1575,1466,2545,1369,1780,1276,1482,1759,896,1459,1857,2214,967,650,517,946,1624,912,1152,1762,2164,0,682,1914,688,634,1000,1689,785,1180,1326,1604,1314,1478,4431
24,2207,1997,1655,1368,2276,1675,1689,1178,1254,1536,983,1212,1611,1963,1323,1005,877,840,1374,629,878,1473,1836,682,0,1703,1015,686,809,1464,984,1009,1285,1777,1292,1457,4057
25,3405,2780,2671,2209,1494,2874,1818,2087,1816,1556,2206,1560,1241,555,2559,2242,2119,1905,1077,1431,1177,731,361,1914,1703,0,1840,1526,1373,659,1808,1248,2029,2600,1426,1813,3431
26,2370,2498,1893,1886,2815,1659,2198,1696,1823,2114,1316,1802,2176,2173,1244,927,927,1366,1928,1129,1339,1913,2073,688,1015,1840,0,565,928,1616,716,1112,1299,1381,1227,1391,4593
27,2297,2225,1821,1606,2412,1706,1893,1416,1480,1762,1021,1451,1856,1859,1300,983,918,1072,1543,801,1010,1569,1759,634,686,1526,565,0,411,1144,297,671,731,1293,779,943,4295
28,2551,2212,1962,1591,2271,2005,1729,1417,1323,1644,1310,1341,1723,1706,1632,1315,1217,1045,1424,702,878,1450,1606,1000,809,1373,928,411,0,1022,604,539,934,1496,874,1030,4217
29,3247,2710,2613,2146,1739,2707,1785,2029,1746,1487,1997,1495,1171,1031,2365,2048,1959,1759,1112,1236,994,768,951,1689,1464,659,1616,1144,1022,0,1275,709,1409,2044,864,1190,3643
30,2545,2522,2069,1948,2731,1858,2194,1713,1782,2064,1404,1752,2139,2141,1459,1142,1086,1369,1859,1136,1313,1889,2042,785,984,1808,716,297,604,1275,0,653,854,1416,786,950,4599
31,2774,2301,2155,1672,2209,2226,1780,1583,1412,1613,1555,1338,1638,1581,1832,1515,1459,1261,1356,753,830,1368,1482,1180,1009,1248,1112,671,539,709,653,0,991,1577,587,885,4120
32,2924,2803,2372,2267,3028,2333,2502,2014,2096,2390,1619,2073,2502,2408,1960,1642,1545,1670,2212,1437,1637,2153,2346,1326,1285,2029,1299,731,934,1409,854,991,0,1356,792,956,4799
33,3077,3255,2655,2712,3523,2420,2952,2521,2550,2844,2132,2527,2939,2971,2006,1689,1653,2167,2633,1891,2101,2660,2871,1604,1777,2600,1381,1293,1496,2044,1416,1577,1356,0,1264,1400,5349
34,2945,2724,2420,2094,2555,2333,2293,1981,1834,2116,1667,1849,1988,1863,1918,1601,1556,1639,1826,1175,1360,1607,1763,1314,1292,1426,1227,779,874,864,786,587,792,1264,0,526,4533
35,3061,2888,2585,2258,2882,2497,2405,2146,1998,2292,1832,1975,2314,2189,2082,1765,1750,1803,2082,1340,1535,1934,2110,1478,1457,1813,1391,943,1030,1190,950,885,956,1400,526,0,4660
36,3353,2516,3250,3217,2176,3961,2639,3193,3095,3130,3641,3328,2920,2871,4199,4210,4080,3638,3081,3604,3352,3011,3114,4431,4057,3431,4593,4295,4217,3643,4599,4120,4799,5349,4533,4660,0
