,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
0,0,844,1091,1376,2996,1208,1794,1347,1748,2069,1390,2183,2247,2822,1528,1656,1729,1671,2436,2216,2379,2732,3078,2117,2379,3407,2436,2362,2661,3344,2617,2870,3016,3207,3029,3262,3412
1,844,0,752,776,2466,1338,1197,952,1212,1519,1339,1635,1701,2289,1662,1791,1852,1525,1890,1730,1901,2148,2552,2142,2102,2880,2562,2334,2351,2876,2652,2433,3023,3266,2883,3052,2598
2,1091,752,0,694,2487,723,1161,590,1031,1398,864,1502,1580,2166,1045,1174,1244,1053,1764,1544,1717,2024,2427,1633,1720,2772,1969,1895,2047,2724,2153,2233,2605,2925,2649,2815,3323
3,1376,776,694,0,2010,1162,644,384,546,918,749,1070,1100,1695,1350,1370,1216,801,1292,1074,1243,1562,1952,1505,1451,2274,1970,1691,1646,2233,2015,1775,2405,2933,2245,2414,3164
4,2996,2466,2487,2010,0,2759,1546,2032,1711,1384,2278,1509,1096,981,2721,2476,2321,2033,1240,1709,1497,1175,1243,2596,2348,1588,2924,2614,2466,1917,2868,2325,3236,3734,2757,3094,2040
5,1208,1338,723,1162,2759,0,1407,774,1215,1556,822,1656,1740,2325,783,909,981,1123,1924,1657,1826,2186,2588,1444,1830,2881,1711,1752,2085,2893,1883,2282,2429,2657,2386,2560,3916
6,1794,1197,1161,644,1546,1407,0,711,535,507,1060,700,726,1263,1665,1680,1525,1132,919,1185,1136,1103,1522,1807,1717,1871,2249,1964,1840,1891,2255,1848,2621,3179,2357,2555,2574
7,1347,952,590,384,2032,774,711,0,429,800,582,895,984,1557,1148,1176,1020,612,1167,945,1118,1420,1822,1318,1258,2178,1792,1506,1493,2115,1831,1643,2209,2759,2133,2305,3142
8,1748,1212,1031,546,1711,1215,535,429,0,502,781,619,692,1285,1341,1353,1200,674,879,796,947,1139,1542,1500,1320,1890,1878,1533,1412,1869,1839,1507,2224,2733,1988,2160,3030
9,2069,1519,1398,918,1384,1556,507,800,502,0,1095,457,432,1020,1642,1632,1478,952,629,998,927,881,1283,1780,1581,1628,2166,1831,1685,1617,2133,1661,2519,3034,2297,2452,3094
10,1390,1339,864,749,2278,822,1060,582,781,1095,0,955,1261,1840,663,775,621,371,1241,976,1113,1541,2103,917,1029,2280,1398,1191,1386,2180,1433,1640,1829,2341,1869,2038,3592
11,2183,1635,1502,1070,1509,1656,700,895,619,457,955,0,621,1197,1330,1327,1173,630,559,726,532,886,1454,1480,1294,1666,1847,1517,1379,1669,1813,1392,2203,2716,1999,2142,3244
12,2247,1701,1580,1100,1096,1740,726,984,692,432,1261,621,0,696,1741,1732,1579,1049,357,1028,887,555,956,1878,1705,1325,2324,1938,1814,1295,2278,1740,2598,3149,2132,2476,2780
13,2822,2289,2166,1695,981,2325,1263,1557,1285,1020,1840,1197,696,0,2437,2158,2003,1708,903,1361,1147,684,262,2269,2058,636,2375,1925,1847,1109,2285,1700,2568,3139,1983,2329,2736
14,1528,1662,1045,1350,2721,783,1665,1148,1341,1642,663,1330,1741,2437,0,441,564,822,1702,1353,1522,1944,2544,1022,1489,2680,1296,1340,1702,2506,1468,1868,2061,2259,1970,2140,4171
15,1656,1791,1174,1370,2476,909,1680,1176,1353,1632,775,1327,1732,2158,441,0,234,820,1455,1015,1187,1595,2237,688,1053,2349,970,1011,1364,2172,1141,1534,1729,1932,1647,1817,4168
16,1729,1852,1244,1216,2321,981,1525,1020,1200,1478,621,1173,1579,2003,564,234,0,686,1320,888,1061,1463,2105,550,934,2204,916,935,1250,2167,1087,1452,1609,1881,1714,1941,4037
17,1671,1525,1053,801,2033,1123,1132,612,674,952,371,630,1049,1708,822,820,686,0,926,672,808,1238,1821,961,866,2013,1443,1147,1120,1879,1461,1344,1831,2358,1810,1977,3563
18,2436,1890,1764,1292,1240,1924,919,1167,879,629,1241,559,357,903,1702,1455,1320,926,0,748,587,409,1060,1640,1387,1183,1980,1656,1462,1237,1916,1422,2296,2816,1914,2244,2942
19,2216,1730,1544,1074,1709,1657,1185,945,796,998,976,726,1028,1361,1353,1015,888,672,748,0,296,968,1521,945,649,1491,1239,909,728,1428,1200,843,1555,2072,1323,1485,3479
20,2379,1901,1717,1243,1497,1826,1136,1118,947,927,1113,532,887,1147,1522,1187,1061,808,587,296,0,686,1262,1198,897,1285,1432,1105,909,1103,1362,867,1739,2269,1531,1665,3234
21,2732,2148,2024,1562,1175,2186,1103,1420,1139,881,1541,886,555,684,1944,1595,1463,1238,409,968,686,0,672,1767,1484,815,2021,1710,1524,877,1977,1413,2320,2870,1738,2082,2876
22,3078,2552,2427,1952,1243,2588,1522,1822,1542,1283,2103,1454,956,262,2544,2237,2105,1821,1060,1521,1262,672,0,2267,1955,374,2265,1893,1736,958,2174,1589,2415,3042,1871,2184,2985
23,2117,2142,1633,1505,2596,1444,1807,1318,1500,1780,917,1480,1878,2269,1022,688,550,961,1640,945,1198,1767,2267,0,746,2172,752,757,1111,1934,882,1288,1480,1778,1481,1642,4368
24,2379,2102,1720,1451,2348,1830,1717,1258,1320,1581,1029,1294,1705,2058,1489,1053,934,866,1387,649,897,1484,1955,746,0,1782,1057,725,819,1668,1053,1073,1379,1894,1413,1576,3960
25,3407,2880,2772,2274,1588,2881,1871,2178,1890,1628,2280,1666,1325,636,2680,2349,2204,2013,1183,1491,1285,815,374,2172,1782,0,2046,1670,1500,660,1956,1369,2130,2750,1530,1881,3296
26,2436,2562,1969,1970,2924,1711,2249,1792,1878,2166,1398,1847,2324,2375,1296,970,916,1443,1980,1239,1432,2021,2265,752,1057,2046,0,617,996,1814,744,1152,1383,1440,1229,1391,4525
27,2362,2334,1895,1691,2614,1752,1964,1506,1533,1831,1191,1517,1938,1925,1340,1011,935,1147,1656,909,1105,1710,1893,757,725,1670,617,0,443,1285,315,708,784,1281,815,980,4212
28,2661,2351,2047,1646,2466,2085,1840,1493,1412,1685,1386,1379,1814,1847,1702,1364,1250,1120,1462,728,909,1524,1736,1111,819,1500,996,443,0,1140,651,576,1002,1506,924,1136,4112
29,3344,2876,2724,2233,1917,2893,1891,2115,1869,1617,2180,1669,1295,1109,2506,2172,2167,1879,1237,1428,1103,877,958,1934,1668,660,1814,1285,1140,0,1318,731,1455,2062,880,1231,3525
