,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
0,0,9723,10043,16433,33255,11086,14399,15763,14244,21673,12060,20220,22068,25907,15556,17447,14718,13477,20271,16792,17885,21642,24460,16435,15955,26495,18766,19087,18257,999999,20740,20269,27661,27778,28766,30690,47492
1,9723,0,6564,6345,32972,10427,8251,8294,8096,26061,9458,27681,21778,25205,26603,24908,22179,12806,27732,24253,25346,29103,24170,15719,15239,26145,26284,26548,25718,999999,28201,27730,24587,24841,28418,30399,47209
2,10043,6564,0,5275,22325,4885,7181,4831,7026,15414,5858,13961,15867,19706,9353,11998,8525,7263,14012,10533,11626,15383,18259,10176,9696,20233,12564,11353,11998,999999,14693,15251,18676,21576,25496,24488,36562
3,16433,6345,5275,0,20255,7761,2498,1902,2343,3876,4842,4298,13797,17636,10878,9183,6455,5206,11942,8463,9556,13313,16189,10210,9730,18163,10494,9283,9994,999999,12792,12005,16606,19506,25530,27974,41332
4,33255,32972,22325,20255,0,20777,22805,20726,22645,8625,17258,8592,6914,17088,19626,17931,17124,16810,7424,11970,11617,12766,15641,15212,14081,17616,17056,16050,14926,999999,17333,15242,24698,26611,20413,22857,15432
5,11086,10427,4885,7761,20777,0,10117,7930,9962,13783,4227,12330,14236,18075,3756,4457,6886,5632,12381,8959,10052,13752,16628,8545,8065,18602,10933,11254,10424,999999,13062,12436,17045,19945,23865,22856,34931
6,14399,8251,7181,2498,22805,10117,0,2585,288,1957,3236,2209,3310,18250,8057,8718,5788,3189,4099,3856,4171,13927,16803,8720,8240,18778,12077,12342,11512,999999,13406,13523,18189,21089,24040,26484,39842
7,15763,8294,4831,1902,20726,7930,2585,0,3494,4158,4172,4414,13127,16966,10208,8513,5785,4536,11272,7793,8886,12643,15519,8807,8327,17493,9824,8613,9324,999999,12122,11335,15936,18836,24127,26571,39929
8,14244,8096,7026,2343,22645,9962,288,3494,0,2158,3941,2265,3528,16735,999999,8282,5554,4305,4312,3912,4227,12412,15288,8929,8449,17262,9593,8382,9093,999999,11891,11104,15705,18605,24249,26693,40051
9,21673,26061,15414,3876,8625,13783,1957,4158,2158,0,4700,1553,1807,10177,12715,11020,10213,4386,3153,5059,4706,7967,8730,8301,7170,10705,12312,9139,10198,999999,14610,8331,17787,19700,17054,24779,22862
10,12060,9458,5858,4842,17258,4227,3236,4172,3941,4700,0,3931,10740,14579,3062,3724,3033,2137,8885,5463,6556,10256,13132,5050,4570,15106,7438,7759,6929,999999,9567,8940,13550,16450,20370,19361,31435
11,20220,27681,13961,4298,8592,12330,2209,4414,2265,1553,3931,0,2015,8724,11262,9567,8760,2910,2135,3617,4673,4402,7277,6848,5717,9252,9235,9106,7292,999999,11704,8298,17754,18247,19178,21159,22829
12,22068,21778,15867,13797,6914,14236,3310,13127,3528,1807,10740,2015,0,10630,13168,11473,10666,10355,1482,5512,5159,3212,9183,8754,7623,11158,10601,9592,8487,999999,12899,8784,18240,20153,14863,23068,21151
13,25907,25205,19706,17636,17088,18075,18250,16966,16735,10177,14579,8724,10630,0,16598,14903,13199,13781,6191,8953,8588,4193,1042,12184,9887,3222,14570,11770,10940,999999,13423,12213,20344,23582,23408,26906,30916
14,15556,26603,9353,10878,19626,3756,8057,10208,999999,12715,3062,11262,13168,16598,0,1608,3619,3587,10219,6740,7833,11590,14466,4795,5903,16441,8576,9035,8205,999999,10899,10217,14829,14943,17727,20172,37440
15,17447,24908,11998,9183,17931,4457,8718,8513,8282,11020,3724,9567,11473,14903,1608,0,967,3707,8524,5045,6138,9895,12717,2403,4154,14691,3846,4561,6510,999999,11337,8690,12676,9756,12940,15385,35913
16,14718,22179,8525,6455,17124,6886,5788,5785,5554,10213,3033,8760,10666,13199,3619,967,0,2749,7717,4433,5526,9088,11910,2309,3347,13884,3244,6728,5898,999999,999999,7910,12671,9751,12935,15380,30267
17,13477,12806,7263,5206,16810,5632,3189,4536,4305,4386,2137,2910,10355,13781,3587,3707,2749,0,8438,2674,6052,9809,12685,4602,4122,14659,6990,7850,7020,999999,9119,9031,13102,16002,16933,18914,30988
18,20271,27732,14012,11942,7424,12381,4099,11272,4312,3153,8885,2135,1482,6191,10219,8524,7717,8438,0,3803,3438,2278,5154,7034,5903,7128,9421,8210,6890,999999,11302,7212,16668,18433,19364,21345,24301
19,16792,24253,10533,8463,11970,8959,3856,7793,3912,5059,5463,3617,5512,8953,6740,5045,4433,2674,3803,0,1507,5264,8139,3420,2289,10114,5807,4596,4595,999999,7936,4896,11919,14819,15750,17731,26207
20,17885,25346,11626,9556,11617,10052,4171,8886,4227,4706,6556,4673,5159,8588,7833,6138,5526,6052,3438,1507,0,4675,7550,4513,3382,9525,6900,5351,4242,999999,8654,4543,13999,15912,17049,18824,25854
21,21642,29103,15383,13313,12766,13752,13927,12643,12412,7967,10256,4402,3212,4193,11590,9895,9088,9809,2278,5264,4675,0,3373,8270,7139,5348,10657,8033,7203,3930,9686,8300,16607,19669,19671,22581,27003
22,24460,24170,18259,16189,15641,16628,16803,15519,15288,8730,13132,7277,9183,1042,14466,12717,11910,12685,5154,8139,7550,3373,0,11149,8852,2187,13535,10735,9905,999999,12388,11178,19309,22547,22373,25459,29881
23,16435,15719,10176,10210,15212,8545,8720,8807,8929,8301,5050,6848,8754,12184,4795,2403,2309,4602,7034,3420,4513,8270,11149,0,1427,13144,1641,3085,3710,999999,3085,5721,8896,13288,13472,15917,29473
24,15955,15239,9696,9730,14081,8065,8240,8327,8449,7170,4570,5717,7623,9887,5903,4154,3347,4122,5903,2289,3382,7139,8852,1427,0,11989,3796,2585,2585,999999,5925,4597,9908,12808,12831,15719,28204
25,26495,26145,20233,18163,17616,18602,18778,17493,17262,10705,15106,9252,11158,3222,16441,14691,13884,14659,7128,10114,9525,5348,2187,13144,11989,0,15511,12710,11881,3064,14364,13153,21285,24523,24349,26794,31856
26,18766,26284,12564,10494,17056,10933,12077,9824,9593,12312,7438,9235,10601,14570,8576,3846,3244,6990,9421,5807,6900,10657,13535,1641,3796,15511,0,1911,3588,999999,2766,7157,7678,10577,10742,13489,30767
27,19087,26548,11353,9283,16050,11254,12342,8613,8382,9139,7759,9106,9592,11770,9035,4561,6728,7850,8210,4596,5351,8033,10735,3085,2585,12710,1911,0,1266,999999,1405,3116,2689,11618,7633,10077,30088
28,18257,25718,11998,9994,14926,10424,11512,9324,9093,10198,6929,7292,8487,10940,8205,6510,5898,7020,6890,4595,4242,7203,9905,3710,2585,11881,3588,1266,0,999999,2148,1940,9772,12671,6924,9368,29163
29,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,3930,999999,999999,999999,3064,999999,999999,999999,0,999999,4081,999999,999999,999999,999999,999999
30,20740,28201,14693,12792,17333,13062,13406,12122,11891,14610,9567,11704,12899,13423,10899,11337,999999,9119,11302,7936,8654,9686,12388,3085,5925,14364,2766,1405,2148,999999,0,3148,1866,8106,5743,8188,31571
31,20269,27730,15251,12005,15242,12436,13523,11335,11104,8331,8940,8298,8784,12213,10217,8690,7910,9031,7212,4896,4543,8300,11178,5721,4597,13153,7157,3116,1940,4081,3148,0,3829,14558,3704,10313,29456
32,27661,24587,18676,16606,24698,17045,18189,15936,15705,17787,13550,17754,18240,20344,14829,12676,12671,13102,16668,11919,13999,16607,19309,8896,9908,21285,7678,2689,9772,999999,1866,3829,0,7585,4064,6508,999999
33,27778,24841,21576,19506,26611,19945,21089,18836,18605,19700,16450,18247,20153,23582,14943,9756,9751,16002,18433,14819,15912,19669,22547,13288,12808,24523,10577,11618,12671,999999,8106,14558,7585,0,10972,7351,38205
