,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46
0,0,380,350,660,1070,350,550,660,550,960,430,730,1010,1010,690,730,460,430,730,730,730,730,780,520,520,780,780,550,550,830,780,780,780,820,1020,1040,1730,550,550,550,550,760,520,500,960,320,500
1,380,0,460,250,1170,740,310,470,310,880,470,1060,1110,880,1060,1060,790,740,1060,1060,1060,1060,880,740,740,1110,1080,880,880,820,1110,1110,1120,920,1150,1140,1830,980,980,980,980,880,740,740,1380,280,740
2,350,460,0,460,940,230,460,230,460,690,230,460,690,690,690,460,460,230,460,460,460,460,460,230,230,690,460,460,460,480,460,690,700,500,920,720,1640,460,460,460,460,690,230,230,750,230,230
3,660,250,460,0,1170,460,230,0,230,0,230,0,920,920,690,690,460,230,690,690,690,690,690,460,460,920,690,690,460,450,920,690,930,730,1150,1150,1640,460,460,460,460,690,460,460,690,460,460
4,1070,1170,940,1170,0,980,980,1210,1440,410,980,410,410,940,980,980,980,980,410,520,520,710,710,750,750,940,750,750,520,640,750,520,750,1020,980,980,860,750,750,520,520,710,750,710,1040,710,710
5,350,740,230,460,980,0,690,460,690,690,230,460,690,690,0,0,230,230,460,460,460,460,460,230,230,690,460,230,230,590,460,460,700,500,920,750,1640,230,230,230,230,690,230,230,750,0,230
6,550,310,460,230,980,690,0,0,0,0,0,0,0,920,690,690,690,0,0,0,0,690,690,460,460,920,920,690,690,420,920,920,1160,960,1150,1150,1640,460,460,460,460,690,690,690,690,690,690
7,660,470,230,0,1210,460,0,0,460,0,230,0,920,920,690,690,460,230,690,690,690,690,690,460,460,920,690,690,460,450,920,690,930,730,1150,1150,1640,460,460,460,460,690,460,460,690,460,460
8,550,310,460,230,1440,690,0,460,0,0,230,0,0,920,230,690,460,230,0,0,0,690,690,460,460,920,690,690,460,450,920,690,930,730,1150,1150,1640,690,690,690,690,690,690,690,690,690,690
9,960,880,690,0,410,690,0,0,0,0,0,0,0,690,690,690,690,0,230,230,230,460,460,460,460,690,460,460,230,380,690,230,460,730,690,950,1080,460,460,230,230,460,460,460,670,460,460
10,430,470,230,230,980,230,0,230,230,0,0,0,690,690,230,0,230,230,460,460,460,460,460,230,230,690,460,230,230,400,460,460,700,500,920,750,1640,230,230,230,230,460,230,230,920,230,230
11,730,1060,460,0,410,460,0,0,0,0,0,0,0,460,460,460,460,0,0,230,230,230,230,230,230,460,460,460,230,380,690,230,460,500,730,720,1080,460,460,230,230,460,230,230,690,230,230
12,1010,1110,690,920,410,690,0,920,0,0,690,0,0,690,690,690,690,690,0,230,230,230,460,460,460,690,460,460,230,380,690,230,460,730,690,950,1080,460,460,230,230,460,460,460,690,230,460
13,1010,880,690,920,940,690,920,920,920,690,690,460,690,0,460,460,460,460,230,230,230,230,0,230,230,230,460,230,230,460,460,460,460,500,690,950,1410,230,230,230,230,690,460,460,690,230,460
14,690,1060,690,690,980,0,690,690,230,690,230,460,690,460,0,0,230,0,460,460,460,460,460,230,460,690,460,460,460,420,690,690,690,500,930,930,1640,460,460,460,460,460,230,230,750,460,460
15,730,1060,460,690,980,0,690,690,690,690,0,460,690,460,0,0,0,0,460,460,460,460,460,0,230,690,0,0,460,420,690,690,660,440,670,670,1640,460,460,460,460,460,230,230,750,460,460
16,460,790,460,460,980,230,690,460,460,690,230,460,690,460,230,0,0,0,460,460,460,460,460,230,230,690,0,230,230,400,230,460,690,470,700,700,1640,230,230,230,230,690,230,230,750,230,230
17,430,740,230,230,980,230,0,230,230,0,230,0,690,460,0,0,0,0,460,0,460,460,460,230,230,690,460,230,230,400,460,460,700,500,730,720,1640,230,230,230,230,690,230,230,920,230,0
